Lake;Date;Depth_m;PAR;Temperature_C;Oxygen_mgL
1;2017-05-30;0.5;446.3;12.1;9.95
1;2017-05-30;1;301;12;9.9
1;2017-05-30;1.5;177.75;10;9.25
1;2017-05-30;2;122.44;7.6;7.43
1;2017-05-30;2.5;62.6;5.7;4.95
1;2017-05-30;3;48.56;4.7;4.37
1;2017-05-30;4;13.18;4.2;1.55
1;2017-05-30;5;1.84;4.2;0.49
1;2017-05-30;6;;4.2;-0.06
1;2017-05-30;7;;4.2;-0.08
1;2017-05-30;8;;4.2;-0.01
2;2017-05-30;0.5;266.9;12.8;9.99
2;2017-05-30;1;144.82;12.1;9.99
2;2017-05-30;1.5;106.81;10.2;9
2;2017-05-30;2;61.48;6.1;6.75
2;2017-05-30;2.5;40.37;5;5.77
2;2017-05-30;3;32.44;4.5;5.4
2;2017-05-30;4;10.2;4.1;2.85
2;2017-05-30;5;0.11;4;1.8
2;2017-05-30;6;;4;1
2;2017-05-30;7;;4.1;-0.1
2;2017-05-30;8;;4.2;-0.015
2;2017-06-20;0;312.7;17.3;9.16
2;2017-06-20;0.2;;;
2;2017-06-20;0.5;77.63;17.4;9.15
2;2017-06-20;1;23.82;17.4;9.1
2;2017-06-20;1.5;11.41;16.4;8.74
2;2017-06-20;2;3.65;11.2;7.13
2;2017-06-20;2.5;1.27;8.2;5.72
2;2017-06-20;3;0.36;6.3;4.96
2;2017-06-20;4;;4.8;2.84
2;2017-06-20;5;;4.3;1.64
2;2017-06-20;6;;4.2;0
2;2017-06-20;7;;4.2;-0.08
2;2017-06-20;8;;4.2;-0.12
1;2017-07-10;0;649.1;18.1;9.17
1;2017-07-10;0.2;250.7;;
1;2017-07-10;0.5;82.63;17.9;9.15
1;2017-07-10;1;41.59;16.9;9.22
1;2017-07-10;1.5;22.86;15.8;9.15
1;2017-07-10;2;8.56;14.3;8.9
1;2017-07-10;2.5;3.18;11.9;5.56
1;2017-07-10;3;1.26;8.5;2.86
1;2017-07-10;4;0.48;5.3;0
1;2017-07-10;5;0.1;4.5;-0.8
